Volunteered For Arts/Culture/Heritage,Interested in Arts & Culture,Interested in Science & Technology,Interested in Research and independent study,Interested in Sports,"Interested in Other competitions (eg case, debates)",Interested in Entrepreneurship,Interested in Volunteering,Interested in Others,Are you stressed about adjustment in new environment ,Are you worried about academic issues,Are you stressed about financial issues ,Are you stressed about your family,Are you anxious about friendships ,Are you happy in your romantic relationship ,Are you stressed about your health and wellbeing ,Are you stressed for career ,"Do you involve in clubs,activities and other events in college ",Stressed about others ,Career,Year of Study,Primary Programme,Gender,Housing Type,Q2-How many events have you Participated in ?,Q3-How many activities are you Interested in ?,Q5-What are your levels of stress ?,Q6-How Satisfied You are with your Student Life ?,Q7-How much effort do you make to interact with others ?,Q8-About How events are you aware about ?,cluster
-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Engineering,Male,Halls,1,1,2,2,3.0,1.0,10
-1.0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,GRAD,2,Master of Technology,Male,Out of Campus,2,2,1,3,3.0,1.0,9
-1.0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,UGRD,1,Bachelor of Business Admin,Male,Halls,3,3,1,2,3.0,2.0,9
-1.0,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,UGRD,4,Bachelor of Science,Female,Out of Campus,3,3,2,2,2.0,2.0,9
-1.0,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,UGRD,4,Bachelor of Science (SDE),Female,Out of Campus,3,4,7,2,2.0,2.0,0
-1.0,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Engineering,Female,Out of Campus,0,4,2,2,3.0,3.0,3
-1.0,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Business Admin,Male,Out of Campus,3,3,1,2,2.0,3.0,11
-1.0,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,UGRD,4,Bachelor of Science,Male,Halls,1,3,3,1,0.0,2.0,2
-1.0,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,-1,UGRD,1,Bachelor of Engineering,Male,Out of Campus,1,2,6,1,1.0,2.0,4
-1.0,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,UGRD,3,Bachelor of Science,Female,Out of Campus,1,4,1,2,2.0,2.0,9
-1.0,-1,1,1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,UGRD,1,Bachelor of Engineering,Male,Out of Campus,2,4,7,2,2.0,2.0,4
-1.0,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,UGRD,2,Bachelor of Arts,Female,Out of Campus,0,3,2,2,2.0,4.0,3
1.0,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,UGRD,4,Bachelor of Engineering,Female,Halls,4,3,3,2,2.0,2.0,8
-1.0,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,UGRD,1,Bachelor of Engineering,Male,Residences,3,4,4,2,2.0,3.0,1
-1.0,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,4,Bachelor of Engineering,Female,Out of Campus,0,2,2,1,2.0,2.0,5
1.0,1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,UGRD,2,Bachelor of Arts,Female,Out of Campus,2,4,3,2,2.0,1.0,8
-1.0,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,UGRD,1,Bachelor of Science,Female,Out of Campus,1,2,5,0,2.0,4.0,0
-1.0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,UGRD,1,Bachelor of Business Admin,Male,Out of Campus,2,2,2,3,2.0,2.0,9
-1.0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,2,Bachelor of Engineering,Male,Out of Campus,2,2,1,3,3.0,1.0,9
-1.0,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,UGRD,2,Bachelor of Arts,Female,Out of Campus,2,4,5,2,2.0,2.0,1
-1.0,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,1,Bachelor of Arts,Female,Out of Campus,1,1,3,2,2.0,2.0,5
-1.0,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,UGRD,4,Bachelor of Science,Female,Out of Campus,3,4,4,1,2.0,2.0,11
-1.0,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,UGRD,2,Bachelor of Science,Female,Out of Campus,1,3,4,0,2.0,4.0,2
-1.0,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Laws,Female,Out of Campus,1,2,1,2,2.0,3.0,5
-1.0,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,UGRD,3,Bachelor of Science (Pharmacy),Female,Out of Campus,1,1,4,2,2.0,2.0,1
-1.0,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,UGRD,3,Bachelor of Arts,Male,Residential Colleges,2,5,6,1,2.0,1.0,2
-1.0,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,2,"Bach. of Med.,Bach. of Surg.",Female,Out of Campus,0,3,1,2,2.0,2.0,3
-1.0,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,UGRD,4,"Bach. of Med.,Bach. of Surg.",Female,Out of Campus,0,2,3,3,2.0,3.0,0
-1.0,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,UGRD,2,Bachelor of Science,Female,Out of Campus,1,2,4,2,2.0,2.0,4
-1.0,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,UGRD,3,Bachelor of Arts,Female,Out of Campus,2,3,2,2,2.0,2.0,9
-1.0,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Laws,Male,Out of Campus,1,3,1,2,2.0,2.0,11
-1.0,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,UGRD,3,Bachelor of Arts,Female,Out of Campus,2,3,3,2,2.0,2.0,10
-1.0,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,UGRD,1,Bachelor of Arts,Female,Residential Colleges,3,4,5,2,3.0,1.0,4
-1.0,1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,UGRD,1,Bachelor of Engineering,Female,Halls,2,3,5,1,3.0,3.0,1
-1.0,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,UGRD,2,Bachelor of Arts,Female,Out of Campus,0,2,3,1,1.0,1.0,2
-1.0,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Business Admin,Female,Residential Colleges,2,4,4,3,3.0,1.0,0
-1.0,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,UGRD,4,Bachelor of Social Sciences,Female,Out of Campus,1,2,3,2,1.0,3.0,3
-1.0,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,GRAD,1,Master in Public Admin,Male,Halls,2,4,3,2,2.0,2.0,11
-1.0,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,"Bach. of Med.,Bach. of Surg.",Female,Halls,2,3,1,2,2.0,2.0,10
-1.0,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,UGRD,1,Bachelor of Laws,Male,Out of Campus,2,2,3,1,3.0,1.0,10
1.0,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Music,Female,Halls,2,5,3,2,3.0,1.0,8
-1.0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,UGRD,1,Bachelor of Arts,Female,Residential Colleges,2,3,5,2,2.0,2.0,3
-1.0,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,UGRD,3,Bachelor of Arts,Female,Halls,3,5,4,2,2.0,2.0,0
-1.0,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,UGRD,5,Bachelor of Computing,Male,Out of Campus,4,3,4,3,3.0,2.0,5
-1.0,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,UGRD,2,Bachelor of Arts,Male,Residential Colleges,2,4,5,1,2.0,4.0,11
-1.0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,UGRD,1,Bachelor of Business Admin,Male,Halls,3,2,4,3,2.0,2.0,9
-1.0,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,4,Bachelor of Science,Male,Out of Campus,3,3,1,1,2.0,2.0,3
-1.0,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,UGRD,1,Bachelor of Engineering,Male,Halls,3,3,2,2,2.0,2.0,1
-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,3,Bachelor of Engineering,Male,Out of Campus,2,1,1,1,2.0,3.0,10
-1.0,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,2,Bachelor of Engineering,Male,Halls,3,3,1,2,2.0,2.0,10
-1.0,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,UGRD,3,Bachelor of Engineering,Male,Out of Campus,2,2,5,2,2.0,2.0,0
1.0,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,UGRD,4,Bachelor of Engineering,Male,Out of Campus,1,2,4,3,2.0,2.0,8
-1.0,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,UGRD,3,Bachelor of Science,Male,Out of Campus,3,6,4,2,2.0,1.0,11
-1.0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,3,Bachelor of Science (Pharmacy),Male,Out of Campus,0,1,2,2,2.0,2.0,5
-1.0,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,UGRD,2,Bachelor of Engineering,Male,Out of Campus,1,4,6,2,2.0,1.0,2
-1.0,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,2,Bachelor of Arts,Female,Out of Campus,1,1,2,1,2.0,2.0,9
-1.0,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,2,Bachelor of Laws,Female,Out of Campus,1,3,1,2,1.0,2.0,10
-1.0,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,UGRD,4,Bachelor of Social Sciences,Female,Out of Campus,1,2,3,2,1.0,3.0,0
-1.0,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,UGRD,3,Bachelor of Arts,Female,Out of Campus,3,2,3,2,3.0,2.0,10
-1.0,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,UGRD,2,Bachelor of Engineering,Female,Out of Campus,2,5,4,1,2.0,3.0,11
-1.0,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,UGRD,2,Yale-University Bachelor's Program,Female,Out of Campus,2,7,5,2,2.0,2.0,11
-1.0,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,UGRD,2,Bachelor of Arts,Female,Out of Campus,2,3,7,1,2.0,2.0,0
1.0,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,2,Bachelor of Science,Female,Out of Campus,3,7,3,2,3.0,1.0,8
-1.0,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,3,Bachelor of Science,Female,Out of Campus,1,2,2,1,1.0,2.0,5
-1.0,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,UGRD,3,Bachelor of Science,Female,Halls,3,4,6,2,3.0,1.0,2
-1.0,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,UGRD,2,Bachelor of Arts,Female,Out of Campus,1,2,3,2,1.0,2.0,1
1.0,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Arts,Female,Out of Campus,2,3,3,2,2.0,2.0,8
-1.0,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,3,Bachelor of Science,Female,Out of Campus,1,4,1,3,3.0,1.0,9
-1.0,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,UGRD,1,Bachelor of Arts,Female,Out of Campus,1,4,4,1,2.0,3.0,10
-1.0,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,1,Bachelor of Science,Female,Out of Campus,2,3,3,2,2.0,2.0,5
-1.0,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Science (Pharmacy),Female,Out of Campus,0,1,2,2,2.0,1.0,5
-1.0,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,2,Bachelor of Business Admin,Female,Out of Campus,1,3,2,2,2.0,2.0,10
-1.0,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,UGRD,4,Bachelor of Science (Pharmacy),Female,Out of Campus,1,4,5,2,2.0,2.0,0
-1.0,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,UGRD,1,Bachelor of Arts,Female,Out of Campus,2,3,3,3,2.0,2.0,10
-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,UGRD,1,Bachelor of Arts,Female,Out of Campus,1,1,2,2,2.0,3.0,1
-1.0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,UGRD,1,Bachelor of Arts,Female,Out of Campus,2,1,2,2,2.0,2.0,9
-1.0,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,UGRD,2,Bachelor of Science (Nursing),Female,Out of Campus,1,1,4,2,2.0,2.0,0
-1.0,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,UGRD,2,Bachelor of Arts,Female,Out of Campus,2,4,5,2,2.0,2.0,4
1.0,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,3,Bachelor of Science (Nursing),Female,Out of Campus,2,3,2,2,2.0,2.0,8
-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Laws,Female,Out of Campus,0,1,1,2,2.0,2.0,10
-1.0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,UGRD,2,Bachelor of Business Admin,Female,Out of Campus,1,3,3,2,2.0,3.0,3
-1.0,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,UGRD,2,Bachelor of Arts,Female,Residential Colleges,2,3,4,2,3.0,2.0,10
-1.0,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,1,-1,UGRD,2,Bachelor of Arts,Female,Residential Colleges,3,3,6,2,1.0,2.0,4
-1.0,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,UGRD,2,Bachelor of Arts,Female,Out of Campus,1,3,2,2,2.0,2.0,9
-1.0,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Science (Nursing),Female,Residences,0,2,3,2,2.0,2.0,10
-1.0,1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,UGRD,4,Bachelor of Arts (SDE),Female,Out of Campus,2,3,4,2,2.0,2.0,4
-1.0,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,UGRD,1,Bachelor of Science,Female,Out of Campus,0,3,4,1,2.0,2.0,2
-1.0,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,UGRD,4,Bachelor of Science,Female,Out of Campus,2,3,3,2,3.0,3.0,1
-1.0,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,2,Bachelor of Engineering,Male,Halls,1,3,1,2,2.0,2.0,5
-1.0,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Computing,Female,Residential Colleges,1,1,3,0,0.0,4.0,10
1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,UGRD,1,Bachelor of Science (SOC),Female,Residential Colleges,1,1,1,3,2.0,2.0,9
-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,UGRD,2,Bachelor of Engineering,Female,Residential Colleges,1,1,2,2,2.0,2.0,10
-1.0,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,UGRD,1,Bachelor of Business Admin,Female,Out of Campus,1,1,3,1,2.0,2.0,5
-1.0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,2,Bachelor of Business Admin,Male,Out of Campus,1,4,2,3,2.0,1.0,11
-1.0,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,UGRD,3,Bachelor of Arts,Female,Out of Campus,2,2,6,1,1.0,2.0,4
-1.0,-1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,2,Bachelor of Science,Male,Out of Campus,0,4,1,2,2.0,3.0,2
-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,UGRD,2,Bachelor of Science,Male,Out of Campus,1,1,1,2,2.0,2.0,10
-1.0,1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,UGRD,2,Bachelor of Science (Pharmacy),Female,Out of Campus,1,3,4,2,1.0,3.0,10
1.0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,UGRD,2,Bachelor of Arts,Female,Halls,1,1,4,2,2.0,3.0,8
-1.0,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,GRAD,4,Doctor of Philosophy (NGS),Female,Out of Campus,0,3,2,2,1.0,2.0,2
1.0,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,UGRD,3,Bachelor of Business Admin,Female,Out of Campus,3,4,2,1,2.0,2.0,8
-1.0,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,UGRD,1,Bachelor of Engineering,Female,Residential Colleges,2,2,3,2,1.0,3.0,1
1.0,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,UGRD,1,Bachelor of Engineering,Female,Out of Campus,4,4,3,2,3.0,1.0,8
